,categories_en
11170,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Pastas,Tagliatelle,Fresh pasta,fr:Tagliatelles fraîches,fr:Tagliatelles-fraiches-au-ble-dur-complet"
11171,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Bakewells"
11172,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Wheats,Spelts,de:Grunkern"
11173,"fr:Boissons-instantanees,fr:Poudre-chocolatee"
11174,Anchovy-paste
11175,fr:Bonbons-a-la-menthe
11176,"it:Latticini,it:Organic"
11177,"Beverages,Artificially sweetened beverages,Syrups,Flavoured syrups,Syrups with fruits,fr:Sirop-de-framboise-et-de-cranberry"
11178,"Fresh foods,Spreads,Salted spreads,Dairies,Cheeses,Cow Cheeses,Cream cheeses,Pasteurized cheeses,Cheese spreads"
11179,"Meats,Fresh meats,Rabbit fresh meat,fr:Viande de lapin,fr:Rables-de-lapin"
11180,"Sugary snacks,Biscuits and cakes,Desserts,Salty snacks,Appetizers,Cakes,fr:Gateaux-sales"
11181,"Labeled products,Farming products,Bird eggs,Eggs,Labeled eggs,Free-range eggs,fr:Oeufs-biologiques"
11182,fr:Salade-de-pates
11183,"Meats,Beef,ru:Полуфабрикат-мясной-из-говядины-black-angus-рубленый-неформованный-охлажденный-категории-б"
11184,"Groceries,Sauces,Hot sauces"
11185,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels liquides,fr:Miels-et-gelee-royale"
11186,"Beverages,Milk substitute,Non-sugared beverages,fr:Alimentos-de-origen-vegetal,fr:Alimentos-y-bebidas-de-origen-vegetal,fr:Bebidas,fr:Bebidas-de-origen-vegetal,fr:Bebidas-no-azucaradas,fr:Frutos-de-cascara-y-derivados,fr:Leches,fr:Leches-de-almendras,fr:Leches-de-frutos-de-cascara,fr:Leches-vegetales,fr:Lacteos"
11187,nl:Curry-ketchups
11188,"Fresh foods,Dairies,Desserts,Yogurts,Greek yogurts,Stirred yogurts,fr:Yaourts-a-la-grecque-bio"
11189,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Fresh pasta,fr:Sans-gluten,fr:Sans-lactose"
11190,"Farming products,Bird eggs,Eggs,Barn eggs,Fresh eggs"
11191,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Desserts,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Fruit jams,Berry jams,Raspberry jams"
11192,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Cereals and potatoes,Legumes and their products,Vegetables based foods,Labeled products,Legumes,Seeds,Legume seeds,PGI Products,Pulses,Lentils,fr:Produits Label Rouge,Green lentils,fr:Lentilles-vertes-du-berry"
11193,"ru:Конфитюр,ru:Конфитюр-фруктово-ягодный,ru:Малиновый-конфитюр"
11194,"Sugary snacks,Biscuits and cakes,Crêpes and galettes,Galettes,Pastries,fr:Galette-charentaise"
11195,"Dairies,Desserts,Non-dairy desserts,Yogurts,Non-dairy yogurts,Soy desserts,Fruit yogurts,Soy milk yogurts,Fruit soy yogurts,Apricot yogurts,fr:Yaourts-de-soja-sur-lit-d-abricot,fr:Yaourts-de-soja-a-l-abricot,fr:Yaourts-sur-lit"
11196,"Plant-based foods and beverages,Plant-based foods,Salty snacks,Nuts and their products,Nuts,Brazil nuts"
11197,Dietary supplements
11198,"Dietary supplements,fr:Minceur"
11199,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,Apple compotes,Blueberry applesauces,fr:Compotes à boire"
11200,tr:Cips
11201,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Meat analogues,Textured vegetable protein,fr:Proteines-de-soja"
11202,"Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips,Crackers"
11203,"Fresh foods,Meats,Poultries,Chickens,Fresh meats,fr:Escalopes de poulet"
11204,"Meats,Prepared meats,Hams,Diced ham,White hams"
11205,"Beverages,Non-sugared beverages,es:Eaux-minerales-gazeuses"
11206,"Canned foods,Seafood,Fishes,Canned fishes,Tunas,fr:Thons à l'huile,fr:Thons à l'huile d'olive"
11207,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Tortellini,Fresh pasta"
11208,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Salty snacks,Appetizers,Breads,Breadsticks,Crackers,fr:Gressins-au-sesame"
11209,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Fruits,Dried plant-based foods,Berries,Dried fruits,Cranberries,fr:Baies"
11210,"Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,Italian cheeses,Grated cheese,fr:Grana-padano"
11211,Dried-pasta
11212,"Beverages,Alcoholic beverages,Wines,Fortified wines,Sweet wines,Wines from Spain,es:Vino-blanco"
11213,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Breadsticks,fr:Gressins-au-sesame"
11214,"Beverages,Alcoholic beverages,Beers,Flavored beers,fr:Indian-pale-ale"
11215,"Dairies,Yogurts,Fruit yogurts,Fruit stirred yogurts,Fruit yogurts with fruit chunks,Stirred yogurts,Sweetened yogurts,fr:Yaourts au Bifidus"
11216,de:Scottish-whisky
11217,"Meats,Canned foods,Prepared meats,fr:Charcuteries cuites,fr:Jambonneau"
11218,Aloe-vera-drink
11219,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Fresh meals,Tortellini,Fresh pasta,fr:Tortellinis-au-jambon,fr:Tortellinis-frais,fr:Tortellinis-a-poeler"
11220,Pan-di-spagna
11221,"Plant-based foods and beverages,Plant-based foods,Canned foods,Cereals and potatoes,Cereals and their products,Meals,Meals with meat,Pastas,Beef dishes,Stuffed Pastas,Canned meals,Cannelloni,fr:Cannellonis-a-la-napolitaine"
11222,"Dairies,Yogurts,Fruit yogurts,Apricot yogurts,Fruit stirred yogurts,Stirred yogurts"
11223,"Dairies,Cheeses,ru:Сыр-адыгейский-массовая-доля-жира-в-пересчете-на-сухое-вещество-45,ru:Сыры-мягкие"
11224,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,Wheat pasta,Durum wheat pasta,Durum wheat pasta with vegetables"
11225,"Fresh foods,Meals,Microwave meals,Meals with fish,Fresh meals,fr:Plats préparés à faible teneur en matières grasses,fr:Plats-prepares-aux-noix-de-saint-jacques"
11226,"Beverages,Dairies,Dairy drinks,Milks,Homogenized milks,Pasteurised milks,Flavoured milks,Chocolate milks,Non-sugared beverages"
11227,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Meals,Leaf vegetables,Prepared vegetables,Spinachs,fr:Purées,Mashed vegetables,Mashed spinachs"
11228,Pizza-bases
11229,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Baby foods,Breads,Zwieback,de:Nach-dem-6-monat"
11230,"Dairies,Cheeses,French cheeses,Uncooked pressed cheeses,fr:Morbiers"
11231,"Fresh foods,Meats,Pork,fr:Rotis-de-porc-cuits"
11232,fr:Pains-speciaux-a-finir-de-cuire
11233,"Sugary snacks,Biscuits and cakes,Pastries,Pie dough,fr:Pâtes brisées"
11234,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Ravioli,Mushroom ravioli,Ravioli with porcini mushrooms,it:Funghetti"
11235,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Fresh meals,Tortellini,Fresh pasta,fr:Tortellini-frais,fr:Tortellini-a-poeler"
11236,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Sugared beverages,fr:Boissons-a-la-cerise"
11237,"Fresh foods,Dairies,Desserts,Dairy desserts,Tiramisu,fr:Cuisine-italienne,fr:Desserts-italiens,fr:Desserts-patissiers,fr:Desserts-patissiers-au-mascarpone,fr:Tiramisus-framboise"
11238,"Beverages,Alcoholic beverages,Artisan products,Beers,Artisanal spirits,Craft beers,Italian beers,fr:Bières rousses,fr:Red-ale"
11239,"Beverages,Alcoholic beverages,Hard liquors,fr:Eaux-de-vie,Whisky,Scotch whiskey,Blended-scotch-whiskey"
11240,"Dietary supplements,Bodybuilding supplements,Protein powders"
11241,fr:Curry-doux
11242,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Legumes and their products,Vegetables based foods,Legumes,Seeds,Legume seeds,Pulses,Lentils,Decorticated lentils,Red lentils,Decorticated red lentils,fr:Pates,fr:Pates-celtes-au-lentilles-corail-bio"
11243,"Fresh foods,Dairies,Cheeses,Cow Cheeses,Cheeses of the Netherlands,Uncooked pressed cheeses,Pasteurized cheeses,fr:Maasdam"
11244,"Sugary snacks,Confectioneries,Chewing gum"
11245,"Chinese-cabbage,Pak-choi"
11246,"Meats,Prepared meats,Poultries,Sausages,fr:Merguez,Poultry merguez"
11247,"Beverages,Alcoholic beverages,Artisan products,Artisanal spirits"
11248,"Fresh foods,Seafood,Fishes,Meals,Microwave meals,Meals with fish,Tunas,Fresh meals,Tropical tunas,Skipjack tuna,fr:Plats-prepares-a-rechauffer-au-bain-marie"
11249,"Canned foods,Meals,Meals with meat,Poultry meals,Canned meals,Duck dishes,fr:Saucisses-de-canard-aux-haricots-lingots"
11250,"Dairies,Labeled products,Cheeses,French cheeses,Uncooked pressed cheeses,Unpasteurised cheeses,fr:Fromages labéllisés,fr:Morbiers"
11251,"Sugary snacks,Chocolates,Easter chocolates,Milk chocolates,White chocolates"
11252,"Meals,Microwave meals,fr:Moussakas"
11253,"Frozen foods,Meals,Frozen ready-made meals,fr:Brochettes,fr:Brochettes-de-dinde"
11254,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Peppers,Ground peppers,White peppers,Ground white peppers"
11255,"Sugary snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Sweet potato crisps"
11256,"Fresh foods,Dairies,Creams,Sour creams,fr:Crèmes entières,fr:Crème Fraîche d'Isigny"
11257,"Sugary snacks,Confectioneries,Candies,Gelified candies,Jelly Beans"
11258,"Meals,Gratins,Microwave meals,Vegetable gratins,de:Gratins-de-pomme-de-terre"
11259,"Groceries,Sauces,Wasabi pastes"
11260,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Sugary snacks,Biscuits and cakes,Cereals and their products,Salty snacks,Appetizers,Breakfast cereals,Flakes,Cereal flakes,Biscuits,Mixed cereal flakes,Mueslis"
11261,"Meals,fr:Nems"
11262,"Groceries,Meals,Sauces,Tomato sauces,fr:Sauce-basquaise-bio"
11263,"Plant-based foods and beverages,Plant-based foods,Salty snacks,Appetizers,Chips and fries,Crisps,Fried foods,Fried plant-based foods"
11264,Spring-roll-pastry
11265,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,Apple compotes,Chestnut applesauces,fr:Compotes à boire"
11266,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,fr:Dessert-fruitier"
11267,Lamb-ribs
11268,"Vinegars,Balsamic vinegars,fr:Creme-balsamique-de-modene"
11269,Vegetarische-worstjes
11270,"Dairies,Yogurts,fr:Yaourts au lait de chèvre"
11271,"Beverages,Carbonated drinks,Sodas,Sugared beverages,ru:Безалкогольный-напиток,ru:Сильногазированный-безалкогольный-напиток,ru:Сильногазированный-напиток"
11272,"Seafood,Fishes,Smoked fishes,Herring,Smoked herrings,fr:Harengs-fumes-doux"
11273,"Beverages,Alcoholic beverages,Wines,French wines,Burgundy wines,Red wines,fr:Aloxe-Corton"
11274,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Mixed cereal flakes,Mueslis,Mueslis with fruits,de:Vollkorn"
11275,"Dairies,Milks,Baby foods,Baby milks,Infant formulas"
11276,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Ravioli,Fresh pasta"
11277,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Products without gluten,Gluten-free breads,Pre-baked breads"
11278,"Croque-monsieur,Sandwichs"
11279,"Syrups,fr:Sirops-de-sucre-de-canne"
11280,Vegetarian-mock-meat
11281,"Beverages,Dairies,Dairy drinks,Coffee drinks,Coffee milks,Sugared beverages"
11282,"Meals,fr:Salades composées,fr:Salade-au-poulet-et-au-bacon"
11283,"Terrine,fr:Terrines de canard,fr:Terrines de volailles"
11284,"Plant-based foods and beverages,Plant-based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Green olives,Pitted olives,Green pitted olives,Marinated olives,Pitted marinated green olives"
11285,"Parve,U"
11286,"de:Alcoholvrije-bieren,de:Bieren"
11287,"Fresh foods,Dairies,Cheeses,French cheeses,Pasteurized cheeses,Goat cheese"
11288,"Sugary snacks,Bars,fr:Barres aux fruits,fr:Fruitbars"
11289,"Beverages,Hot beverages,Coffees,Instant hot beverages,Instant coffees,Non-sugared beverages,ru:Кофе-натуральный-растворимый-сублимированный"
11290,"Beverages,Carbonated drinks,Waters,Flavored waters,Non-sugared beverages"
11291,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels crémeux,fr:Miels-de-chardon,fr:Miels-italiens"
11292,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Fruit jams,Berry jams,Mixed fruit jams"
11293,"Beverages,Non-sugared beverages,Eau-minerale"
11294,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Unleavened breads"
11295,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,Wheat pasta,Durum wheat pasta,fr:Pâtes aux oeufs,fr:Pates-seches-aux-oeufs"
11296,Smoked-paprika
11297,"Fresh foods,Meals,Pizzas pies and quiches,Fresh meals,Pizzas,Oval pizzas,Three Cheese Pizza"
11298,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Frozen foods,Frozen plant-based foods,Meals,Frozen vegetables,Frozen plant-based foods mixes,Frozen vegetable mixes,fr:Poêlées"
11299,Woolworths
11300,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,ru:Хлеб-ароматный-в-упаковке,ru:Хлеб-пшеничный-из-муки-второго-сорта"
11301,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,fr:Tourteaux-fromages"
11302,"Beverages,Artificially sweetened beverages,Non-sugared beverages"
11303,"Sugary snacks,Confectioneries,Desserts,Chocolates,Milk chocolates,fr:Chocolat-au-lait-avec-nougat"
11304,"Beverages,Alcoholic beverages,Wines,Sparkling wines,Wines from Spain,fr:Vins pétillant"
11305,fr:Salade-composee-vegetale
11306,"Sugary snacks,Chocolates,Dark chocolates,Dark chocolates with sweeteners,fr:Chocolats noirs extra fin"
11307,"Beverages,Non-Alcoholic beverages,Non-alcoholic beers,Non-sugared beverages,Sugared beverages,fr:Bieres-sans-alcool-aromatisees"
11308,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars,Sorbets,Lemon sorbets"
11309,fr:The-vert-au-miel
11310,"Baby foods,Fish menus for babies,From 18 months,Main meals for babies"
11311,"Plant-based foods and beverages,Beverages,Plant-based beverages,Artificially sweetened beverages,Aloe-vera-drinks"
11312,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Squeezed juices,fr:Multifruits,Non-Alcoholic beverages"
11313,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Legumes and their products,Vegetables based foods,Canned plant-based foods,Canned vegetables,Canned legumes,Canned common beans,Canned flageolet beans"
11314,"Sugary snacks,Biscuits and cakes,Pastries,fr:Cornes-de-gazelles"
11315,"Canned foods,Meals,Canned meals,fr:Salades composées,Tuna salad"
11316,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Squeezed juices,fr:Jus-d-orange-et-fraise,Non-Alcoholic beverages"
11317,"Groceries,Condiments,Seasonings,fr:Aromates"
11318,fr:Ecorces-de-citrons-confites
11319,"Fresh foods,Dairies,Yogurts,Flavoured yogurts,Vanilla yogurt"
11320,it:Passata-di-pomodoro
11321,"Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Carbonated drinks,Herbal teas,Sodas,Teas,Green teas,Sugared beverages"
11322,"Plant-based foods and beverages,Plant-based foods,Canned foods,Pickles,Plant-based pickles,fr:Epis-de-mais-au-vinaigre"
11323,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Fruit jams,Citrus jams,Light jams,Orange jams"
11324,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Zwieback,fr:Biscottes aux céréales,fr:Biscottes complètes"
11325,"Spreads,Salted spreads,Dairies,Cheeses,Cow Cheeses,Pasteurized cheeses,Cheese spreads,Melted cheese"
11326,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Wheats,fr:Ble-precuit"
11327,"Plant-based foods and beverages,Plant-based foods,Spreads,Legumes and their products,Plant-based spreads,Nuts and their products,Oilseed purees,Nut butters,Legume butters,Peanut butters,ru:Паста-арахисовая-мягкая"
11328,"Harengs,Poissons,Produits-de-la-mer"
11329,"Sandwiches,Sandwiches filled with cold cuts,Ham sandwiches,fr:Sandwich polaire"
11330,"Meats,Beef,fr:Brochettes-de-boeuf,fr:Viandes-pour-barbecue"
11331,"Beverages,Alcoholic beverages,Beers,Stout"
11332,"Meals,Spanish omelettes,Egg-free spanish omelettes"
11333,it:Gelati
11334,"Beverages,Syrups,Flavoured syrups,Mint syrups,Sugared beverages,fr:Produit-a-la-menthe"
11335,"fr:Levure-de-boulanger-seche,fr:Levures"
11336,Cheese-singles
11337,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Sablés,fr:Sables-aux-pommes"
11338,"Sugary snacks,Biscuits and cakes,Desserts,Bars,Biscuits,Cereal bars,fr:Barres-cereales-pepites-de-chocolat"
11339,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses,Common beans,Red beans"
11340,"Canned foods,Seafood,Fishes,Canned fishes,Tunas,Tropical tunas,Canned tunas,Skipjack tuna,Tuna chunks,Tuna in brine"
11341,Syrups
11342,"Plant-based foods and beverages,Plant-based foods,Spreads,Legumes and their products,Sugary snacks,Biscuits and cakes,Plant-based spreads,Nuts and their products,Oilseed purees,Biscuits,Nut butters,Chocolate biscuits,Legume butters,Milk chocolate biscuits,Peanut butters"
11343,"Plant-based foods and beverages,Plant-based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Stuffed olives"
11344,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,Canned Brussels sprouts"
11345,"Sugary snacks,Biscuits and cakes,Pastries,fr:Mendiants"
11346,"it:Alkoholische-getranke,it:Getranke,it:Roteweine,it:Wein,it:Weine"
11347,"Fresh foods,Dairies,Cheeses,Cow Cheeses,Cream cheeses,Italian cheeses,Pasteurized cheeses,Industrial cheese,Mozzarella,Stretched-curd cheeses"
11348,"Sugary snacks,Bars,Products without gluten,Cereal bars,es:Barritas-de-cereales-sin-gluten"
11349,"Dairies,Yogurts,Greek yogurts,Plain yogurts,Sheep's milk yogurts"
11350,fr:Chocolate-sauce
11351,"Meals,Sandwiches,Refrigerated foods,Sandwiches filled with cold cuts,Cheese sandwiches,Ham sandwiches,Refrigerated meals,Ham and cheese sandwiches"
11352,"it:Prodotti-da-forno,it:Taralli"
11353,"Desserts,fr:Liegeois"
11354,"Groceries,Meals,Sauces,Pasta sauces,Tomato sauces,Bolognese sauce"
11355,"Seafood,Fishes,Meals,Breaded products,Breaded fish,Breaded Hake fish"
11356,"Chinese-cinnamon-sticks,Dalchini"
11357,"Plant-based foods and beverages,Beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Plant-based beverages,Juices and nectars,Vegetable-based foods and beverages,Tomatoes and tomato products,Vegetable-based beverages,Vegetable juices,Tomato juices,Non-sugared beverages,ru:Сок-томатный-восстановленный-с-мякотью-с-солью-и-сахаром"
11358,"Pastry-dough,Shortccrust-pastry-dough"
11359,de:Schweinefleisch
11360,pt:Extrato-de-malte-sabor-chocolate
11361,Piccalilli
11362,it:Cioccolata-calda
11363,"Sweeteners,fr:Produits-sucrants"
11364,"Fresh foods,Meats,Prepared meats,fr:Charcuteries cuites,fr:Andouilles"
11365,fr:Cone-patissier
11366,"Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,Emmentaler,Unpasteurised cheeses,Cheeses from Switzerland,fr:Emmentals suisses"
11367,"Groceries,Condiments,Sauces,Worcestershire sauces"
11368,"Meals,Microwave meals,fr:Parmentiers-de-poisson"
11369,"Sugary snacks,Viennoiseries,Brioches,fr:Brioches au chocolat,fr:Brioches-fourrees"
11370,"Seafood,Fishes,Salmons,Smoked fishes,Smoked salmons,fr:Saumons fumés de dégustation"
11371,"Seafood,Fishes,Frozen foods,Frozen fishes,Pollocks,fr:Filets-de-colin-d-alaska,fr:Poissons-sauvages"
11372,"Meats,Prepared meats,fr:Pancetta"
11373,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit nectars,fr:Vegetables-and-derived-products,Non-Alcoholic beverages"
11374,"Sugary snacks,Confectioneries,Chocolates,fr:Tablettes-de-chocolat"
11375,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Sorbets,Mango sorbets"
11376,Mushroom-in-sunflower-oil
11377,"Fresh foods,Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,French cheeses,Emmentaler,French emmentaler,Pasteurized cheeses,Grated cheese,Grated emmentaler,Industrial cheese"
11378,"Meats,Prepared meats,Sausages,fr:Saucisses-cuites,fr:Saucisses-de-porc,fr:Saucisses-a-griller"
11379,"Meats,Prepared meats,fr:Epaule-de-porc"
11380,fr:Filets-de-hareng-a-l-huile-de-colza
11381,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream tubs,fr:La-laitiere"
11382,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,ru:Мороженое-эскимо-пломбир-ванильный-в-шоколадной-глазури"
11383,fr:Burgers-de-boeuf
11384,"Plant-based foods and beverages,Plant-based foods,Sugary snacks,Confectioneries,Christmas foods and drinks,Dried products,Christmas sweets,Dried plant-based foods,Dried fig cakes"
11385,"Beverages,Hot beverages,Instant hot beverages,Non-sugared beverages,ru:Цикорий-растворимый-порошкообразный"
11386,"Beverages,Syrups,Flavoured syrups,Non-sugared beverages,Strawberry syrups,Sugared beverages"
11387,"Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,Pasteurized cheeses"
11388,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Legumes and their products,Vegetables based foods,Frozen foods,Frozen plant-based foods,Frozen legumes,Frozen vegetables,Frozen green beans,fr:Haricots-beurre"
11389,Peels
11390,"Fresh foods,Dairies,Desserts,Non-dairy desserts,Yogurts,Non-dairy yogurts,Soy desserts,Fruit yogurts,Soy milk yogurts,Fruit soy yogurts,Lemon soy yogurts,Lemon yogurts,fr:Yaourts au Bifidus"
11391,"Plant-based foods and beverages,Beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Cream soups,Vegetable soups,Cream of vegetable soups,Sugared beverages,fr:Veloutés de légumes du soleil"
11392,"fr:Chips-de-banane,fr:Chips-de-banane-sechees"
11393,"Meats,Poultries,Chickens,fr:Cuisses-de-poulets"
11394,"Desserts,Non-dairy desserts,Soy desserts,Products without gluten,fr:Desserts-de-soja-au-cafe"
11395,es:Derivados-lacteosas
11396,"Meals,Microwave meals,Pots,Vegetables in a box"
11397,"Frozen foods,Meals,Meals with meat,Poultry meals,Meals with chicken,fr:Poêlées"
11398,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,fr:Farfalle,fr:Papillon,fr:Pates"
11399,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses,Lentils,Decorticated lentils,Red lentils,Decorticated red lentils"
11400,"Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Herbal teas,Teas,Green teas,Chinese green teas,Non-sugared beverages"
11401,"Fresh foods,Dairies,Yogurts,Plain yogurts"
11402,Protein-powder-drink-mix
11403,fr:Chocolats-chauds
11404,"Dairies,Cheeses,Cow Cheeses,French cheeses,Soft cheeses with bloomy rind,Camemberts,Pasteurized cheeses,Industrial cheese,Pasteurized camembert"
11405,"fr:Insectes,fr:Larves-de-guepes"
11406,"Frozen foods,Meals,Meals with meat,Breaded products,Pork meals"
11407,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Baguettes,Brown breads"
11408,"Fats,Animal fats,Duck fat"
11409,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Legumes and their products,Seafood,Fishes,Legumes,Seeds,Legume seeds,Meals,Pulses,Lentils,Salmons,Fresh meals,fr:Salades composées,Prepared lentils,fr:Lentilles-au-saumon-fume-et-sauce-gravlax"
11410,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Madeleines,Pastries,fr:Madeleines longues,fr:Gateaux-au-beurre"
11411,"Sugary snacks,Chocolates,Milk chocolates,Swiss chocolates,fr:Chocolats-fourres-a-l-alcool"
11412,"Sugary snacks,Chocolates,Dark chocolates,fr:Chocolats-pur-beurre-de-cacao"
11413,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels de forêt"
11414,Wasabi-horseradish
11415,"Sugary snacks,Dairies,Desserts,Dried products,Chocolates,Dairy desserts,Dried products to be rehydrated,Chocolate desserts,Dessert creams,fr:Crèmes dessert chocolat"
11416,"Seafood,Crustaceans,fr:Fruits-de-mer"
11417,"Dietary supplements,Vitamines,fr:Mineraux,fr:Vitamines-et-mineraux"
11418,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Noodles,Instant noodles,Indonesian-food"
11419,pl:Barwnik-spożywczy
11420,"Frozen foods,Meals,Microwave meals,Frozen ready-made meals,fr:Poêlées,fr:Poelees-de-legumes"
11421,"Fresh foods,Dairies,Labeled products,Cheeses,Cow Cheeses,French cheeses,Soft cheeses with bloomy rind,fr:Fromages labéllisés,Thermised milk cheeses,fr:Saint-Marcellin"
11422,"Frozen foods,Meals,Microwave meals,Frozen ready-made meals,Prepared lasagne,Frozen lasagne,Vegetarian lasagne,fr:Lasagnes aux légumes,fr:Plats-prepares-a-rechauffer-au-four-traditionnel"
11423,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,fr:Preparations-culinaires"
11424,"Beverages,Alcoholic beverages,Groceries,Condiments,Hard liquors,Salts,Tequilas,es:Baja-en-sodio,es:Diabeticos,es:Especies,es:Gourmet,es:Sal-liquida"
